order,timestamp_ms,video_id,flag_count,like_count,view_count,comment_count,title
1,0,ORIGINAL,0,0,0,0,[Unknown]
2,0.014347,26M-bU3wMBI,0,4170,114285,492,Allay Tag - Tutorial - New Mini-Game!
3,0.02153,0eV9R3pVNcg,0,57454,12002206,12899,Minecraft Xbox - Candyland - Hunger Games
4,0.043782,d2Uo33Ijh6M,2,52210,12771995,7463,Minecraft Xbox - Randoms Adventure Map - Part 2
5,0.053039,-z14nWFU7VU,1,28837,5471543,7232,Minecraft Xbox - Side By Side Challenge - W/Stampy [1]
,0.053039,[TOTAL TIME ELAPSED],,,,,
