order,timestamp_ms,video_id,flag_count,like_count,view_count,comment_count,title
1,0,ORIGINAL,0,0,0,0,[Unknown]
2,0.014176,26M-bU3wMBI,0,4170,114285,492,Allay Tag - Tutorial - New Mini-Game!
3,0.021991,0xihXAzral0,0,87929,18664748,12932,Minecraft Xbox - Disney Pixar - Hunger Games
4,0.045204,obLZ-yctYok,2,36338,1737585,2382,I Survived 100 Days on NO BLOCK in Minecraft Hardcore
5,0.055263,HOmoZXA2iao,8,22811,1463244,2646,Minecraft But I Survive In FOOD CIVILIZATION [FULL MOVIE]
,0.055263,[TOTAL TIME ELAPSED],,,,,
